"Country","Region","Presence","Year First Detected","Pest Extent"
"Paraguay",NA,"Present: no details",2022,3
"Peru",NA,"Present: no details",2022,3
"Puerto Rico",NA,"Present: no details",2022,3
"Suriname",NA,"Absent",2022,0
"Trinidad and Tobago",NA,"Present: no details",2022,3
"United States of America",NA,"Present: restricted distribution",2022,5
"United States of America","Alabama","Present: no details",2022,3
"United States of America","Delaware","Present: no details",2022,3
"United States of America","Florida","Present: no details",2022,3
"United States of America","Hawaii","Present: no details",2022,3
"United States of America","Louisiana","Present: no details",2022,3
"United States of America","Maryland","Present: no details",2022,3
"United States of America","Mississippi","Present: no details",2022,3
"United States of America","Ohio","Present: no details",2022,3
"United States of America","Texas","Present: no details",2022,3
"Uruguay",NA,"Present: no details",2022,3
"Venezuela",NA,"Present: no details",2022,3
"Afghanistan",NA,"Present: no details",2022,3
"Bangladesh",NA,"Present: widespread",2022,6
"Brunei Darussalam",NA,"Present: no details",2022,3
"Cambodia",NA,"Present: no details",2022,3
"China",NA,"Present: restricted distribution",2022,5
"China","Anhui","Present: no details",2022,3
"China","Fujian","Present: no details",2022,3
"China","Gansu","Present: no details",2022,3
"China","Guangdong","Present: no details",2022,3
"China","Guangxi","Present: no details",2022,3
"China","Guizhou","Present: no details",2022,3
"China","Hebei","Present: no details",2022,3
"China","Heilongjiang","Present: no details",2022,3
"China","Henan","Present: no details",2022,3
"China","Hubei","Present: no details",2022,3
"China","Hunan","Present: no details",2022,3
"China","Jiangsu","Present: no details",2022,3
"China","Jiangxi","Present: no details",2022,3
"China","Jilin","Present: no details",2022,3
"China","Liaoning","Present: no details",2022,3
"China","Neimenggu","Present: no details",2022,3
"China","Ningxia","Present: no details",2022,3
"China","Qinghai","Present: no details",2022,3
"China","Shaanxi","Present: no details",2022,3
"China","Shandong","Present: no details",2022,3
"China","Shanxi","Present: no details",2022,3
"China","Sichuan","Present: no details",2022,3
"China","Xianggang (Hong Kong)","Present: no details",2022,3
"China","Xinjiang","Present: no details",2022,3
"China","Yunnan","Present: no details",2022,3
"China","Zhejiang","Present: no details",2022,3
"India",NA,"Present: widespread",2022,6
"India","Jammu & Kashmir","Present: no details",2022,3
"India","Tamil Nadu","Present: no details",2022,3
"Indonesia",NA,"Present: no details",2022,3
"Indonesia","Java","Present: no details",2022,3
"Indonesia","Nusa Tenggara","Present: no details",2022,3
"Iran",NA,"Present: no details",2022,3
"Iraq",NA,"Present: no details",2022,3
"Japan",NA,"Present: widespread",2022,6
"North Korea",NA,"Present: no details",2022,3
"Korea",NA,"Present: no details",2022,3
"Laos",NA,"Present: widespread",2022,6
"Malaysia",NA,"Present: widespread",2022,6
"Malaysia","Sabah","Present: no details",2022,3
"Malaysia","Sarawak","Present: no details",2022,3
"Malaysia","West","Present: no details",2022,3
"Myanmar",NA,"Present: no details",2022,3
"Nepal",NA,"Present: no details",2022,3
"Pakistan",NA,"Present: no details",2022,3
"Philippines",NA,"Present: no details",2022,3
"Sri Lanka",NA,"Present: no details",2022,3
"Taiwan",NA,"Present: no details",2022,3
"Thailand",NA,"Present: no details",2022,3
"Vietnam",NA,"Present: no details",2022,3
"Bulgaria",NA,"Present: widespread",2022,6
"France",NA,"Present: no details",2022,3
"Greece",NA,"Present: no details",2022,3
"Hungary",NA,"Present: widespread",2022,6
"Italy",NA,"Present: no details",2022,3
"Portugal",NA,"Present: widespread",2022,6
"Romania",NA,"Present: no details",2022,3
"Russia",NA,"Present: restricted distribution",2022,5
"Russia","European Russia","Present: no details",2022,3
"Russia","Far East","Present: no details",2022,3
"Serbia",NA,"Present: no details",2022,3
"Spain",NA,"Present: no details",2022,3
"Turkey",NA,"Present: no details",2022,3
"Ukraine",NA,"Present: no details",2022,3
"Australia",NA,"Present: restricted distribution",2022,5
"Australia","Northern Territory","Present: no details",2022,3
"Australia","Queensland","Present: no details",2022,3
"Australia","Western Australia","Present: no details",2022,3
"Fiji",NA,"Present: no details",2022,3
"Micronesia",NA,"Present: no details",2022,3
"New Caledonia",NA,"Present: no details",2022,3
"Angola",NA,"Present: no details",2023,3
"Chad",NA,"Present: no details",2023,3
"Congo",NA,"Present: no details",2023,3
"Cote d'Ivoire",NA,"Present: no details",2023,3
"Egypt",NA,"Present: no details",2023,3
"Ethiopia",NA,"Present: no details",2023,3
"Gambia",NA,"Present: no details",2023,3
"Ghana",NA,"Present: no details",2023,3
"Guinea",NA,"Present: no details",2023,3
"Kenya",NA,"Present: no details",2023,3
"Madagascar",NA,"Present: no details",2023,3
"Malawi",NA,"Present: no details",2023,3
"Mauritius",NA,"Present: no details",2023,3
"Morocco",NA,"Present: no details",2023,3
"Niger",NA,"Present: no details",2023,3
"Nigeria",NA,"Present: no details",2023,3
"Senegal",NA,"Present: no details",2023,3
"Sierra Leone",NA,"Present: no details",2023,3
"South Africa",NA,"Present: no details",2023,3
"Sudan",NA,"Present: no details",2023,3
"Tanzania",NA,"Present: no details",2023,3
"Uganda",NA,"Present: no details",2023,3
"Zambia",NA,"Present: no details",2023,3
"Zimbabwe",NA,"Present: no details",2023,3
"Argentina",NA,"Present: no details",2023,3
"Belize",NA,"Present: no details",2023,3
"Bermuda",NA,"Present: no details",2023,3
"Bolivia",NA,"Present: no details",2023,3
"Brazil",NA,"Present: widespread",2023,6
"Brazil","Distrito Federal","Present: no details",2023,3
"Brazil","Espirito Santo","Present: no details",2023,3
"Brazil","Goias","Present: no details",2023,3
"Brazil","Mato Grosso","Present: no details",2023,3
"Brazil","Mato Grosso do Sul","Present: no details",2023,3
"Brazil","Minas Gerais","Present: no details",2023,3
"Brazil","Para","Present: no details",2023,3
"Brazil","Parana","Present: no details",2023,3
"Brazil","Pernambuco","Present: no details",2023,3
"Brazil","Piaui","Present: no details",2023,3
"Brazil","Rio Grande do Sul","Present: no details",2023,3
"Brazil","Rondonia","Present: no details",2023,3
"Brazil","Santa Catarina","Present: no details",2023,3
"Brazil","Sao Paulo","Present: no details",2023,3
"Brazil","Tocantins","Present: no details",2023,3
"Colombia",NA,"Present: no details",2023,3
"Costa Rica",NA,"Present: no details",2023,3
"Cuba",NA,"Present: no details",2023,3
"Dominican Republic",NA,"Present: no details",2023,3
"El Salvador",NA,"Present: no details",2023,3
"French Guiana",NA,"Present: no details",2023,3
"Guadeloupe",NA,"Absent",2023,0
"Guatemala",NA,"Present: no details",2023,3
"Guyana",NA,"Present: no details",2023,3
"Haiti",NA,"Present: no details",2023,3
"Honduras",NA,"Present: no details",2023,3
"Jamaica",NA,"Absent",2023,0
"Martinique",NA,"Present: no details",2023,3
"Mexico",NA,"Present: no details",2023,3
"Nicaragua",NA,"Present: no details",2023,3
"Panama",NA,"Present: no details",2023,3
"Paraguay",NA,"Present: no details",2023,3
"Peru",NA,"Present: no details",2023,3
"Puerto Rico",NA,"Present: no details",2023,3
"Suriname",NA,"Absent",2023,0
"Trinidad and Tobago",NA,"Present: no details",2023,3
"United States of America",NA,"Present: restricted distribution",2023,5
"United States of America","Alabama","Present: no details",2023,3
"United States of America","Delaware","Present: no details",2023,3
"United States of America","Florida","Present: no details",2023,3
"United States of America","Hawaii","Present: no details",2023,3
"United States of America","Louisiana","Present: no details",2023,3
"United States of America","Maryland","Present: no details",2023,3
"United States of America","Mississippi","Present: no details",2023,3
"United States of America","Ohio","Present: no details",2023,3
"United States of America","Texas","Present: no details",2023,3
"Uruguay",NA,"Present: no details",2023,3
"Venezuela",NA,"Present: no details",2023,3
"Afghanistan",NA,"Present: no details",2023,3
"Bangladesh",NA,"Present: widespread",2023,6
"Brunei Darussalam",NA,"Present: no details",2023,3
"Cambodia",NA,"Present: no details",2023,3
"China",NA,"Present: restricted distribution",2023,5
"China","Anhui","Present: no details",2023,3
"China","Fujian","Present: no details",2023,3
"China","Gansu","Present: no details",2023,3
"China","Guangdong","Present: no details",2023,3
"China","Guangxi","Present: no details",2023,3
"China","Guizhou","Present: no details",2023,3
"China","Hebei","Present: no details",2023,3
"China","Heilongjiang","Present: no details",2023,3
"China","Henan","Present: no details",2023,3
"China","Hubei","Present: no details",2023,3
"China","Hunan","Present: no details",2023,3
"China","Jiangsu","Present: no details",2023,3
"China","Jiangxi","Present: no details",2023,3
"China","Jilin","Present: no details",2023,3
"China","Liaoning","Present: no details",2023,3
"China","Neimenggu","Present: no details",2023,3
"China","Ningxia","Present: no details",2023,3
"China","Qinghai","Present: no details",2023,3
"China","Shaanxi","Present: no details",2023,3
"China","Shandong","Present: no details",2023,3
"China","Shanxi","Present: no details",2023,3
"China","Sichuan","Present: no details",2023,3
"China","Xianggang (Hong Kong)","Present: no details",2023,3
"China","Xinjiang","Present: no details",2023,3
"China","Yunnan","Present: no details",2023,3
"China","Zhejiang","Present: no details",2023,3
"India",NA,"Present: widespread",2023,6
"India","Jammu & Kashmir","Present: no details",2023,3
"India","Tamil Nadu","Present: no details",2023,3
"Indonesia",NA,"Present: no details",2023,3
"Indonesia","Java","Present: no details",2023,3
"Indonesia","Nusa Tenggara","Present: no details",2023,3
"Iran",NA,"Present: no details",2023,3
"Iraq",NA,"Present: no details",2023,3
"Japan",NA,"Present: widespread",2023,6
"North Korea",NA,"Present: no details",2023,3
"Korea",NA,"Present: no details",2023,3
"Laos",NA,"Present: widespread",2023,6
"Malaysia",NA,"Present: widespread",2023,6
"Malaysia","Sabah","Present: no details",2023,3
"Malaysia","Sarawak","Present: no details",2023,3
"Malaysia","West","Present: no details",2023,3
"Myanmar",NA,"Present: no details",2023,3
"Nepal",NA,"Present: no details",2023,3
"Pakistan",NA,"Present: no details",2023,3
"Philippines",NA,"Present: no details",2023,3
"Sri Lanka",NA,"Present: no details",2023,3
"Taiwan",NA,"Present: no details",2023,3
"Thailand",NA,"Present: no details",2023,3
"Vietnam",NA,"Present: no details",2023,3
"Bulgaria",NA,"Present: widespread",2023,6
"France",NA,"Present: no details",2023,3
"Greece",NA,"Present: no details",2023,3
"Hungary",NA,"Present: widespread",2023,6
"Italy",NA,"Present: no details",2023,3
"Portugal",NA,"Present: widespread",2023,6
"Romania",NA,"Present: no details",2023,3
"Russia",NA,"Present: restricted distribution",2023,5
"Russia","European Russia","Present: no details",2023,3
"Russia","Far East","Present: no details",2023,3
"Serbia",NA,"Present: no details",2023,3
"Spain",NA,"Present: no details",2023,3
"Turkey",NA,"Present: no details",2023,3
"Ukraine",NA,"Present: no details",2023,3
"Australia",NA,"Present: restricted distribution",2023,5
"Australia","Northern Territory","Present: no details",2023,3
"Australia","Queensland","Present: no details",2023,3
"Australia","Western Australia","Present: no details",2023,3
"Fiji",NA,"Present: no details",2023,3
"Micronesia",NA,"Present: no details",2023,3
"New Caledonia",NA,"Present: no details",2023,3
"Angola",NA,"Present: no details",2024,3
"Chad",NA,"Present: no details",2024,3
"Congo",NA,"Present: no details",2024,3
"Cote d'Ivoire",NA,"Present: no details",2024,3
"Egypt",NA,"Present: no details",2024,3
"Ethiopia",NA,"Present: no details",2024,3
"Gambia",NA,"Present: no details",2024,3
"Ghana",NA,"Present: no details",2024,3
"Guinea",NA,"Present: no details",2024,3
"Kenya",NA,"Present: no details",2024,3
"Madagascar",NA,"Present: no details",2024,3
"Malawi",NA,"Present: no details",2024,3
"Mauritius",NA,"Present: no details",2024,3
"Morocco",NA,"Present: no details",2024,3
"Niger",NA,"Present: no details",2024,3
"Nigeria",NA,"Present: no details",2024,3
"Senegal",NA,"Present: no details",2024,3
"Sierra Leone",NA,"Present: no details",2024,3
"South Africa",NA,"Present: no details",2024,3
"Sudan",NA,"Present: no details",2024,3
"Tanzania",NA,"Present: no details",2024,3
"Uganda",NA,"Present: no details",2024,3
"Zambia",NA,"Present: no details",2024,3
"Zimbabwe",NA,"Present: no details",2024,3
"Argentina",NA,"Present: no details",2024,3
"Belize",NA,"Present: no details",2024,3
"Bermuda",NA,"Present: no details",2024,3
"Bolivia",NA,"Present: no details",2024,3
"Brazil",NA,"Present: widespread",2024,6
"Brazil","Distrito Federal","Present: no details",2024,3
"Brazil","Espirito Santo","Present: no details",2024,3
"Brazil","Goias","Present: no details",2024,3
"Brazil","Mato Grosso","Present: no details",2024,3
"Brazil","Mato Grosso do Sul","Present: no details",2024,3
"Brazil","Minas Gerais","Present: no details",2024,3
"Brazil","Para","Present: no details",2024,3
"Brazil","Parana","Present: no details",2024,3
"Brazil","Pernambuco","Present: no details",2024,3
"Brazil","Piaui","Present: no details",2024,3
"Brazil","Rio Grande do Sul","Present: no details",2024,3
"Brazil","Rondonia","Present: no details",2024,3
"Brazil","Santa Catarina","Present: no details",2024,3
"Brazil","Sao Paulo","Present: no details",2024,3
"Brazil","Tocantins","Present: no details",2024,3
"Colombia",NA,"Present: no details",2024,3
"Costa Rica",NA,"Present: no details",2024,3
"Cuba",NA,"Present: no details",2024,3
"Dominican Republic",NA,"Present: no details",2024,3
"El Salvador",NA,"Present: no details",2024,3
"French Guiana",NA,"Present: no details",2024,3
"Guadeloupe",NA,"Absent",2024,0
"Guatemala",NA,"Present: no details",2024,3
"Guyana",NA,"Present: no details",2024,3
"Haiti",NA,"Present: no details",2024,3
"Honduras",NA,"Present: no details",2024,3
"Jamaica",NA,"Absent",2024,0
"Martinique",NA,"Present: no details",2024,3
"Mexico",NA,"Present: no details",2024,3
"Nicaragua",NA,"Present: no details",2024,3
"Panama",NA,"Present: no details",2024,3
"Paraguay",NA,"Present: no details",2024,3
"Peru",NA,"Present: no details",2024,3
"Puerto Rico",NA,"Present: no details",2024,3
"Suriname",NA,"Absent",2024,0
"Trinidad and Tobago",NA,"Present: no details",2024,3
"United States of America",NA,"Present: restricted distribution",2024,5
"United States of America","Alabama","Present: no details",2024,3
"United States of America","Delaware","Present: no details",2024,3
"United States of America","Florida","Present: no details",2024,3
"United States of America","Hawaii","Present: no details",2024,3
"United States of America","Louisiana","Present: no details",2024,3
"United States of America","Maryland","Present: no details",2024,3
"United States of America","Mississippi","Present: no details",2024,3
"United States of America","Ohio","Present: no details",2024,3
"United States of America","Texas","Present: no details",2024,3
"Uruguay",NA,"Present: no details",2024,3
"Venezuela",NA,"Present: no details",2024,3
"Afghanistan",NA,"Present: no details",2024,3
"Bangladesh",NA,"Present: widespread",2024,6
"Brunei Darussalam",NA,"Present: no details",2024,3
"Cambodia",NA,"Present: no details",2024,3
"China",NA,"Present: restricted distribution",2024,5
"China","Anhui","Present: no details",2024,3
"China","Fujian","Present: no details",2024,3
"China","Gansu","Present: no details",2024,3
"China","Guangdong","Present: no details",2024,3
"China","Guangxi","Present: no details",2024,3
"China","Guizhou","Present: no details",2024,3
"China","Hebei","Present: no details",2024,3
"China","Heilongjiang","Present: no details",2024,3
"China","Henan","Present: no details",2024,3
"China","Hubei","Present: no details",2024,3
"China","Hunan","Present: no details",2024,3
"China","Jiangsu","Present: no details",2024,3
"China","Jiangxi","Present: no details",2024,3
"China","Jilin","Present: no details",2024,3
"China","Liaoning","Present: no details",2024,3
"China","Neimenggu","Present: no details",2024,3
"China","Ningxia","Present: no details",2024,3
"China","Qinghai","Present: no details",2024,3
"China","Shaanxi","Present: no details",2024,3
"China","Shandong","Present: no details",2024,3
"China","Shanxi","Present: no details",2024,3
"China","Sichuan","Present: no details",2024,3
"China","Xianggang (Hong Kong)","Present: no details",2024,3
"China","Xinjiang","Present: no details",2024,3
"China","Yunnan","Present: no details",2024,3
"China","Zhejiang","Present: no details",2024,3
"India",NA,"Present: widespread",2024,6
"India","Jammu & Kashmir","Present: no details",2024,3
"India","Tamil Nadu","Present: no details",2024,3
"Indonesia",NA,"Present: no details",2024,3
"Indonesia","Java","Present: no details",2024,3
"Indonesia","Nusa Tenggara","Present: no details",2024,3
"Iran",NA,"Present: no details",2024,3
"Iraq",NA,"Present: no details",2024,3
"Japan",NA,"Present: widespread",2024,6
"North Korea",NA,"Present: no details",2024,3
"Korea",NA,"Present: no details",2024,3
"Laos",NA,"Present: widespread",2024,6
"Malaysia",NA,"Present: widespread",2024,6
"Malaysia","Sabah","Present: no details",2024,3
"Malaysia","Sarawak","Present: no details",2024,3
"Malaysia","West","Present: no details",2024,3
"Myanmar",NA,"Present: no details",2024,3
"Nepal",NA,"Present: no details",2024,3
"Pakistan",NA,"Present: no details",2024,3
"Philippines",NA,"Present: no details",2024,3
"Sri Lanka",NA,"Present: no details",2024,3
"Taiwan",NA,"Present: no details",2024,3
"Thailand",NA,"Present: no details",2024,3
"Vietnam",NA,"Present: no details",2024,3
"Bulgaria",NA,"Present: widespread",2024,6
"France",NA,"Present: no details",2024,3
"Greece",NA,"Present: no details",2024,3
"Hungary",NA,"Present: widespread",2024,6
"Italy",NA,"Present: no details",2024,3
"Portugal",NA,"Present: widespread",2024,6
"Romania",NA,"Present: no details",2024,3
"Russia",NA,"Present: restricted distribution",2024,5
"Russia","European Russia","Present: no details",2024,3
"Russia","Far East","Present: no details",2024,3
"Serbia",NA,"Present: no details",2024,3
"Spain",NA,"Present: no details",2024,3
"Turkey",NA,"Present: no details",2024,3
"Ukraine",NA,"Present: no details",2024,3
"Australia",NA,"Present: restricted distribution",2024,5
"Australia","Northern Territory","Present: no details",2024,3
"Australia","Queensland","Present: no details",2024,3
"Australia","Western Australia","Present: no details",2024,3
"Fiji",NA,"Present: no details",2024,3
"Micronesia",NA,"Present: no details",2024,3
"New Caledonia",NA,"Present: no details",2024,3
